momentum,low_vol,parkinson_vol,high52,liquidity,train_sharpe,test_sharpe,min_sharpe,train_return,test_return,train_dd,test_dd
0.4,0.2,0.2,0.0,0.2,1.5188395657791105,1.5825125995835037,1.5188395657791105,0.27052785959173464,0.2957953231439334,-0.252740026288902,-0.19322035930599035
0.5,0.0,0.0,0.3,0.2,1.7665110145034597,1.5185940073255817,1.5185940073255817,0.4773652084990718,0.4237147587185963,-0.27660432428224946,-0.24658694604538278
0.7,0.1,0.0,0.0,0.2,1.7250479551858011,1.5160617861475127,1.5160617861475127,0.45516732149363226,0.4092293802884901,-0.2798012161823197,-0.28092298046979924
0.6,0.0,0.3,0.1,0.0,1.9976263741428366,1.5137764093021944,1.5137764093021944,0.4695357971179157,0.3489332439814994,-0.24909055923645695,-0.22152413247839242
0.6,0.0,0.0,0.0,0.4,1.8785993891284314,1.5130525458577502,1.5130525458577502,0.5185152498519263,0.4260309020421127,-0.27980939122158177,-0.28762219471207184
0.5,0.0,0.0,0.0,0.5,1.8530737672527473,1.5130525458577502,1.5130525458577502,0.5080016048892595,0.4260309020421127,-0.2798008260943373,-0.28762219471207184
0.5,0.3,0.0,0.0,0.2,1.8067591567164394,1.5095544739786915,1.5095544739786915,0.39667451406460374,0.3557677676989037,-0.23677603648848577,-0.2292161028888271
0.5,0.0,0.4,0.1,0.0,1.6947868906520527,1.5075494324364478,1.5075494324364478,0.34880687561115,0.3015813658477242,-0.24893191883546306,-0.1850039234612475
0.7,0.0,0.2,0.0,0.1,2.016694873841243,1.5056779920475856,1.5056779920475856,0.5391464703255646,0.3932622921027473,-0.2619347112108874,-0.2653172533779695
0.3,0.1,0.0,0.1,0.5,1.6933801056068538,1.5050311394205227,1.5050311394205227,0.3874253021913121,0.377933309000521,-0.24029226146353966,-0.21915094720579686
0.4,0.5,0.0,0.1,0.0,1.5790092173333374,1.5027650670285848,1.5027650670285848,0.24450607426634718,0.26155503865287,-0.1933647624910707,-0.18915799021406832
0.5,0.1,0.0,0.1,0.3,1.79760142030916,1.499053776106363,1.499053776106363,0.47683178614701505,0.3939447444002029,-0.24552198396162805,-0.2726380840117363
0.4,0.0,0.0,0.2,0.4,1.7255597682503299,1.495799575216811,1.495799575216811,0.4391938309198484,0.422450506880812,-0.2621644945863423,-0.2683640441173779
0.4,0.2,0.2,0.1,0.1,1.495254208784708,1.6496379345883363,1.495254208784708,0.26071061584725896,0.303991455019081,-0.24508885304861272,-0.18132712286116814
0.4,0.3,0.1,0.0,0.2,1.4935506722716652,1.5534853307122156,1.4935506722716652,0.2662340767079787,0.30195072515497445,-0.25278824432225333,-0.1842759162063622
0.4,0.1,0.1,0.1,0.3,1.7416682866594264,1.485616555817015,1.485616555817015,0.38177532265702085,0.3396043577009533,-0.23674213084299256,-0.1957408456286852
0.5,0.0,0.4,0.0,0.1,1.5129441050187897,1.4792494338657427,1.4792494338657427,0.289472444238543,0.29843281995733983,-0.2527153464963099,-0.16335286885485134
0.4,0.4,0.1,0.0,0.1,1.4787187302968388,1.605241140639998,1.4787187302968388,0.22088509468212303,0.28378899180575456,-0.23181405463199434,-0.19590832321132245
0.3,0.2,0.1,0.0,0.4,1.477882066149779,1.4808663391238457,1.477882066149779,0.2565959037246912,0.2803686563053651,-0.25286466574261157,-0.18412697263678302
0.6,0.1,0.0,0.1,0.2,1.8490911183550445,1.4767721052916423,1.4767721052916423,0.4948677010546949,0.39569699412561543,-0.24554197958695478,-0.27282458109631547
0.5,0.0,0.1,0.2,0.2,1.807186555287871,1.475380739087007,1.475380739087007,0.45216580709879706,0.3799780618117785,-0.237335396809904,-0.2524997966160366
0.7,0.0,0.0,0.1,0.2,1.7957401927624361,1.4748038504387575,1.4748038504387575,0.48097241622423725,0.4078767333739648,-0.27976736620984277,-0.2834562382248049
0.3,0.0,0.0,0.2,0.5,1.7200898060760657,1.4742513064722829,1.4742513064722829,0.44379959434017824,0.39912678993045825,-0.24925045984657934,-0.2299249285473124
0.4,0.5,0.0,0.0,0.1,1.533295750200311,1.4720642940335127,1.4720642940335127,0.23207404308076884,0.26978883285297006,-0.19630712920957805,-0.20481070806359702
0.2,0.1,0.0,0.1,0.6,1.596304925296326,1.4716165867915638,1.4716165867915638,0.32517725951043963,0.34149813231935733,-0.2367437855712381,-0.2082682348144741
0.6,0.4,0.0,0.0,0.0,1.9365301389580865,1.4710156397273106,1.4710156397273106,0.4431248812961539,0.33203952109087154,-0.22057013494157518,-0.21098861366772592
0.5,0.0,0.5,0.0,0.0,1.4707093187113767,1.8931874513674385,1.4707093187113767,0.26322805280434913,0.3480596315715543,-0.2527325327956371,-0.16292816835995017
0.5,0.1,0.0,0.0,0.4,1.7344435762236494,1.4677621159557936,1.4677621159557936,0.45561304093083543,0.39492499735185094,-0.24558111227455415,-0.2706004005225797
0.7,0.1,0.2,0.0,0.0,2.083196486548385,1.4672467809034682,1.4672467809034682,0.5347340149859661,0.3591145238899618,-0.25884865205977803,-0.26334559766679133
0.5,0.5,0.0,0.0,0.0,1.8074155424760099,1.4664512221897974,1.4664512221897974,0.34499409744467857,0.290150435509128,-0.20074007291741636,-0.23658615895383373
0.5,0.2,0.2,0.1,0.0,1.7509124949321198,1.4663461144932515,1.4663461144932515,0.3590931763093972,0.3005617544204584,-0.24907335014163856,-0.2066012071840937
0.4,0.0,0.1,0.4,0.1,1.7952578406102826,1.4655902674283514,1.4655902674283514,0.4216190541679634,0.36376937007500887,-0.2368599179533315,-0.23835799679843162
0.5,0.0,0.1,0.4,0.0,2.1063910535034025,1.4647219214717349,1.4647219214717349,0.5654495398455808,0.36878239094011267,-0.23732524747389872,-0.2714782963667448
0.3,0.2,0.0,0.4,0.1,1.5706358060823453,1.464247521881351,1.464247521881351,0.3039779105998093,0.29610155746833433,-0.23676731803978346,-0.23805751429272326
0.6,0.0,0.0,0.2,0.2,1.8618729220934447,1.4622883251106928,1.4622883251106928,0.5110475425665058,0.405403161372081,-0.30106416666804736,-0.28832305213244747
0.6,0.1,0.0,0.0,0.3,1.7621282388640895,1.461471571440669,1.461471571440669,0.4606566316556455,0.3932166601256786,-0.27977817180045783,-0.27068911043394805
0.5,0.0,0.1,0.1,0.3,1.7644648447898663,1.4608905006416824,1.4608905006416824,0.46188028140677173,0.377445569301629,-0.24557028620046595,-0.26751544512426206
0.4,0.4,0.0,0.1,0.1,1.4561124964649494,1.5135922203259649,1.4561124964649494,0.2486879461913254,0.2921796126577918,-0.21808412604317828,-0.16748486552801278
0.6,0.0,0.4,0.0,0.0,1.895365423633764,1.4543996999493667,1.4543996999493667,0.4265604832904002,0.31419262681675164,-0.24900802406308387,-0.2045127018862296
0.7,0.0,0.1,0.0,0.2,1.7942688032055252,1.453295594224632,1.453295594224632,0.4788637443578758,0.3774484682972381,-0.27980172043302975,-0.28088632641043443
0.2,0.0,0.0,0.1,0.7,1.8030503391690154,1.453172518843682,1.453172518843682,0.44962526530220503,0.40022956486397265,-0.25097833164061334,-0.26844730223874014
